document_name,page_number,detection_type
F1964021.json,3,Deux Colonnes
F1964021.json,8,Deux Colonnes
F1964021.json,11,Deux Colonnes
F1964022.json,2,Deux Colonnes
F1964022.json,3,Deux Colonnes
F1964022.json,4,Deux Colonnes
F1964022.json,5,Deux Colonnes
F1964022.json,6,Deux Colonnes
F1964022.json,7,Deux Colonnes
F1964022.json,11,Deux Colonnes
F1964022.json,13,Deux Colonnes
F1964022.json,14,Deux Colonnes
F1964023.json,7,Deux Colonnes
F1964023.json,12,Deux Colonnes
F1964023.json,14,Deux Colonnes
F1964024.json,3,Deux Colonnes
F1964024.json,4,Deux Colonnes
F1964024.json,6,Deux Colonnes
F1964025.json,9,Deux Colonnes
F1964025.json,10,Deux Colonnes
F1964025.json,11,Deux Colonnes
F1964026.json,10,Deux Colonnes
F1964026.json,11,Deux Colonnes
F1964028.json,4,Deux Colonnes
F1964028.json,5,Deux Colonnes
F1964030.json,8,Deux Colonnes
F1964030.json,9,Deux Colonnes
F1964030.json,11,Deux Colonnes
F1964030.json,13,Deux Colonnes
F1964031.json,1,Deux Colonnes
F1964031.json,4,Deux Colonnes
F1964031.json,5,Deux Colonnes
F1964032.json,3,Deux Colonnes
F1964032.json,4,Deux Colonnes
F1964032.json,5,Deux Colonnes
F1964032.json,7,Deux Colonnes
F1964032.json,14,Deux Colonnes
F1964033.json,2,Deux Colonnes soft
F1964033.json,5,Deux Colonnes
F1964034.json,14,Deux Colonnes
F1964035.json,3,Deux Colonnes soft
F1964035.json,6,Deux Colonnes
F1964035.json,8,Deux Colonnes
F1964035.json,9,Deux Colonnes
F1964035.json,10,Deux Colonnes
F1964035.json,11,Deux Colonnes
F1964035.json,12,Deux Colonnes
F1964036.json,1,Deux Colonnes
F1964037.json,4,Deux Colonnes
F1964037.json,9,Deux Colonnes
F1964037.json,10,Deux Colonnes
F1964038.json,1,Deux Colonnes
F1964038.json,4,Deux Colonnes
F1964038.json,5,Deux Colonnes
F1964039.json,2,Deux Colonnes
F1964039.json,3,Deux Colonnes
F1964039.json,10,Deux Colonnes
